model,display_name,feature_level,sample_size,delta125_mean,delta125_std,full_delta125,delta_abs_gap,delta_relative_gap,absrel_mean,absrel_std,full_absrel,absrel_abs_gap,absrel_relative_gap,mae_mean,mae_std
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,200,0.9980437755584717,0.0001261087235061346,0.999207,0.0011632244415282766,0.0011641476105834693,0.030923180902997654,0.00019549824116190875,0.024927,0.005996180902997653,0.24054964107183585,0.057436746897332226,0.00036688181924120433
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_1,400,0.9988544583320618,5.34184328548819e-05,0.999207,0.00035254166793818875,0.00035282145535228313,0.026988208914796512,0.00022247863455625855,0.024927,0.0020612089147965112,0.08268981083951182,0.04994099265633007,0.0005371170861220566
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,25,0.9966074426968893,0.0005990938199233914,0.999855,0.0032475573031107707,0.003248028267209516,0.0389653816819191,0.0014415241780330627,0.018918,0.020047381681919097,1.059698788556882,0.07684541378025947,0.0020083408909788185
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,100,0.999079167842865,0.00020534661735872447,0.999855,0.000775832157135059,0.0007759446691120803,0.02733134167889754,0.0014063487020764946,0.018918,0.00841334167889754,0.4447268040436378,0.051848135837892294,0.0021678603278521462
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,200,0.9996475378672282,5.341352217636425e-05,0.999855,0.00020746213277189618,0.000207492219143672,0.02299661623934905,0.0003503381162735631,0.018918,0.004078616239349048,0.21559447295427886,0.04362984712633718,0.0005297722085341646
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_6,400,0.9998281796773275,3.497540083472724e-05,0.999855,2.682032267253831e-05,2.6824212183304888e-05,0.020621273045738537,0.00024456493953921125,0.018918,0.0017032730457385362,0.09003451980857047,0.03880932650758207,0.0006151278924742637
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_27,25,0.6435885032018026,0.00519802707098334,0.850587,0.20699849679819737,0.2433595820277025,0.20961534976959229,0.003493459274572518,0.123149,0.08646634976959229,0.702127908221685,0.3652026257564199,0.004722610924508788
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_27,100,0.7532383402188619,0.006273560419798746,0.850587,0.09734865978113805,0.11444879804316084,0.16578331589698792,0.002543962180479281,0.123149,0.04263431589698792,0.34620107265985045,0.2877396642752098,0.0034358029733390387
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_27,200,0.786899467309316,0.0025436730828748287,0.850587,0.06368753269068395,0.07487480139090293,0.1527885446945826,0.0011293304932150272,0.123149,0.029639544694582617,0.2406803522122195,0.26624237196483536,0.0027452292293690065
cut3r_spatialstack_44323703,SpatialStack 0/1/2,layer_27,400,0.8208293716112772,0.002992134021353288,0.850587,0.029757628388722757,0.03498481447367848,0.13727660477161407,0.0006288594803426959,0.123149,0.01412760477161408,0.11471960610004207,0.2434982990446276,0.0012682928232729434
zero_spatial,0 spatial,projected_features,25,0.49714937806129456,0.006340651372948727,0.617823,0.12067362193870546,0.19532070178466235,0.30153313279151917,0.006820589551128249,0.228111,0.07342213279151916,0.321870198243483,0.5060980989995957,0.006497835613910943
zero_spatial,0 spatial,projected_features,100,0.538631002108256,0.007443422172236136,0.617823,0.07919199789174403,0.1281791029012258,0.27171321709950763,0.006605965793160239,0.228111,0.04360221709950762,0.1911447369899199,0.45805912764734363,0.0067687552658798646
zero_spatial,0 spatial,projected_features,200,0.5658859411875407,0.0042666893236089935,0.617823,0.05193705881245936,0.08406462500175513,0.2587256332238515,0.000811188599188069,0.228111,0.030614633223851495,0.13420936835072178,0.43469763634080577,0.0021802634870239507
zero_spatial,0 spatial,projected_features,400,0.5889772971471151,0.0010053784941981075,0.617823,0.028845702852884902,0.04668926675258917,0.24474424123764038,0.002114137413030668,0.228111,0.016633241237640373,0.07291731322750929,0.4128705396124812,0.0004746747541448506
zero_spatial,0 spatial,layer_0,25,0.5119003454844157,0.008146265136166243,0.63923,0.1273296545155843,0.19919223834235614,0.29638202985127765,0.0061595267303126405,0.22299,0.07339202985127766,0.3291270005438704,0.49124122542450227,0.007037019655600412
