model,display_name,feature_level,sample_size,subset_sha256_seed_0,subset_sha256_seed_1,subset_sha256_seed_2,delta125_seed_0,delta125_seed_1,delta125_seed_2,delta125_mean,delta125_std,full_delta125,delta125_signed_gap,delta125_absolute_gap,delta125_relative_gap,absrel_seed_0,absrel_seed_1,absrel_seed_2,absrel_mean,absrel_std,full_absrel,absrel_signed_gap,absrel_absolute_gap,absrel_relative_gap,mae_seed_0,mae_seed_1,mae_seed_2,mae_mean,mae_std
vlm3r_baseline,Baseline,layer_6,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.6671116352081299,0.6853389143943787,0.6859733462333679,0.6794746319452921,0.010711367428199565,0.802778,-0.12330336805470787,0.12330336805470787,0.15359584848452235,0.1994420886039734,0.19237998127937317,0.1891212910413742,0.19364778697490692,0.005275908835760828,0.144518,0.049129786974906914,0.049129786974906914,0.3399561782954851,0.3524381779358807,0.33969496097425533,0.34207991508975194,0.3447376846666293,0.006774599543559423
vlm3r_baseline,Baseline,layer_6,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.7209078073501587,0.73273766040802,0.737363874912262,0.7303364475568136,0.00848674892227443,0.802778,-0.0724415524431864,0.0724415524431864,0.09023858706041571,0.1777912676334381,0.17317134141921997,0.1693684160709381,0.17344367504119873,0.004218024574634698,0.144518,0.028925675041198723,0.028925675041198723,0.20015274942359237,0.31196971008713836,0.304389652898804,0.3018333255154292,0.30606422950045714,0.005271596356180851
vlm3r_baseline,Baseline,layer_6,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.7558290362358093,0.7518768906593323,0.7471053004264832,0.7516037424405416,0.004368277587310739,0.802778,-0.05117425755945837,0.05117425755945837,0.06374646235878209,0.16287770867347717,0.1678299903869629,0.1640235185623169,0.16491040587425232,0.0025925277955087178,0.144518,0.020392405874252312,0.020392405874252312,0.14110633882459148,0.28769480880829273,0.29164075170748704,0.2933661729220269,0.2909005778126022,0.0029072299141346906
vlm3r_baseline,Baseline,layer_6,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.769747257232666,0.7773474454879761,0.7787485718727112,0.7752810915311178,0.004843374889324683,0.802778,-0.027496908468882197,0.027496908468882197,0.03425219483952251,0.15724195539951324,0.15499885380268097,0.15400858223438263,0.1554164638121923,0.0016566454346901517,0.144518,0.010898463812192283,0.010898463812192283,0.0754125009493093,0.2781057454597576,0.2732621107517923,0.27220751082807687,0.2745251223465422,0.0031454239235664296
vlm3r_baseline,Baseline,layer_27,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.5129269361495972,0.4945543110370636,0.4969070553779602,0.5014627675215403,0.009997710899640843,0.631001,-0.12953823247845975,0.12953823247845975,0.20529005893565896,0.29828551411628723,0.2940111458301544,0.2913995087146759,0.29456538955370587,0.003476299350829444,0.225214,0.06935138955370587,0.06935138955370587,0.3079355171246276,0.4912539616540709,0.5046056868650072,0.5021814721651936,0.49934704022809057,0.007112850682506972
vlm3r_baseline,Baseline,layer_27,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.560775101184845,0.5608412027359009,0.5636962056159973,0.5617708365122477,0.0016677460816977303,0.631001,-0.06923016348775235,0.06923016348775235,0.10971482372888845,0.25796911120414734,0.2560282051563263,0.26358917355537415,0.2591954966386159,0.003926840550398957,0.225214,0.03398149663861591,0.03398149663861591,0.1508853652020563,0.44144878849313113,0.4383296093250463,0.4427238186834932,0.44083407216722353,0.002260680448995086
vlm3r_baseline,Baseline,layer_27,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.5850428342819214,0.5813022255897522,0.5801522731781006,0.5821657776832581,0.002557085966720712,0.631001,-0.04883522231674198,0.04883522231674198,0.07739325661408139,0.2461140900850296,0.24389712512493134,0.24201089143753052,0.24400736888249716,0.002053819624448859,0.225214,0.018793368882497163,0.018793368882497163,0.08344671682265385,0.4174550272161164,0.4208734558111923,0.42099982789370277,0.41977610364033713,0.0020111040005714774
vlm3r_baseline,Baseline,layer_27,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.6027281284332275,0.6060854196548462,0.608570396900177,0.6057946483294169,0.0029319679709619837,0.631001,-0.02520635167058316,0.02520635167058316,0.03994661128997127,0.23254726827144623,0.23337754607200623,0.23793642222881317,0.23462041219075522,0.002901599944151772,0.225214,0.00940641219075522,0.00940641219075522,0.041766551771893486,0.4015450842148332,0.4005166378789666,0.40053193882049437,0.4008645536380981,0.0005894064209919332
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.4979909062385559,0.4883023202419281,0.4878661334514618,0.4913864533106486,0.00572378053272065,0.603508,-0.11212154668935143,0.11212154668935143,0.18578303301588614,0.3081992268562317,0.308096319437027,0.292584091424942,0.3029598792394002,0.008985843146985511,0.231073,0.07188687923940021,0.07188687923940021,0.31110029834467984,0.506279006624015,0.515139042177752,0.5111876079619428,0.51086855225457,0.004438626466788577
cut3r_spatialstack_44323703,SpatialStack 0/1/2,projected_features,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.5458126068115234,0.540472686290741,0.5446626543998718,0.5436493158340454,0.0028104855592604966,0.603508,-0.059858684165954634,0.059858684165954634,0.09918457446455495,0.27732667326927185,0.26845866441726685,0.2738597095012665,0.2732150157292684,0.004469017542430285,0.231073,0.04214201572926837,0.04214201572926837,0.18237533476117232,0.457334490196516,0.4553237447933275,0.45617427485077655,0.4562775032802067,0.0010093395615910924
